backbone,gate_type,weight_init,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_gates,extract_sec
efficientnet_b0,sep_tar,pretrained,0.05,400,0,relu,0.0,0.0007031063238779704,0.0007031063238779704,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0001757765809694926,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.05,400,1,relu,0.0,0.0007031063238779704,0.0007031063238779704,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0001757765809694926,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.1,400,0,relu,0.0,0.0015819892287254333,0.0015819892287254333,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.00039549730718135834,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.1,400,1,relu,0.0,0.0015819892287254333,0.0015819892287254333,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.00039549730718135834,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.2,400,0,relu,0.0,0.004218637943267823,0.004218637943267823,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0010546594858169558,1,1,7.18
efficientnet_b0,sep_tar,pretrained,0.2,400,1,relu,0.0,0.004218637943267823,0.004218637943267823,0.0,True,1.0,0.0010579228401184082,0.0021060556173324585,0.0010546594858169558,1,1,7.18
efficientnet_b0,sha_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,0.0,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,0.0,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.05,400,0,relu,0.0,8.509887589348688e-05,8.509887589348688e-05,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,2.127471897337172e-05,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.05,400,1,relu,0.0,8.509887589348688e-05,8.509887589348688e-05,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,2.127471897337172e-05,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.1,400,0,relu,0.0,0.00019147247076034546,0.00019147247076034546,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,4.7868117690086365e-05,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.1,400,1,relu,0.0,0.00019147247076034546,0.00019147247076034546,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,4.7868117690086365e-05,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.2,400,0,relu,0.0,0.0005105932553609213,0.0005105932553609213,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,0.00012764831384023032,2,2,7.24
efficientnet_b0,sha_un,pretrained,0.2,400,1,relu,0.0,0.0005105932553609213,0.0005105932553609213,0.0,True,1.0,0.0001216307282447815,0.0002628043293952942,0.00012764831384023032,2,2,7.24
efficientnet_b0,int_un,pretrained,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.0,3,3,7.17
efficientnet_b0,int_un,pretrained,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.0,3,3,7.17
efficientnet_b0,int_un,pretrained,0.05,400,0,relu,0.0,0.0008409652445051406,0.0008409652445051406,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.00021024131112628514,3,3,7.17
efficientnet_b0,int_un,pretrained,0.05,400,1,relu,0.0,0.0008409652445051406,0.0008409652445051406,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.00021024131112628514,3,3,7.17
efficientnet_b0,int_un,pretrained,0.1,400,0,relu,0.0,0.0018921718001365662,0.0018921718001365662,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.00047304295003414154,3,3,7.17
efficientnet_b0,int_un,pretrained,0.1,400,1,relu,0.0,0.0018921718001365662,0.0018921718001365662,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.00047304295003414154,3,3,7.17
efficientnet_b0,int_un,pretrained,0.2,400,0,relu,0.0,0.005045791467030844,0.005045791467030844,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.001261447866757711,3,3,7.17
efficientnet_b0,int_un,pretrained,0.2,400,1,relu,0.0,0.005045791467030844,0.005045791467030844,0.0,True,1.0,0.0011486634612083435,0.002635680139064789,0.001261447866757711,3,3,7.17
